人民幣	人民幣 ￥
微笑的下弦月	微笑的下弦月 🌜
溫度計	溫度計 🌡
太陽	太陽 ☀️ 🌞
日	日 ☀️
晴天	晴天 ☀️
微笑的月亮	微笑的月亮 🌝
微笑的滿月	微笑的滿月 🌝
微笑的太陽	微笑的太陽 🌞
行星	行星 🪐
土星	土星 🪐
有環行星	有環行星 🪐
星球	星球 🪐
五角星	五角星 ⭐
星星	星星 ⭐ 🌟 ✨
閃耀的星星	閃耀的星星 🌟
閃亮的星星	閃亮的星星 🌟
流星	流星 🌠
許願	許願 🌠
星空	星空 🌌
銀河	銀河 🌌
銀河系	銀河系 🌌
雲	雲 ☁️
雲彩	雲彩 ☁️
雲朵	雲朵 ☁️
cloud	cloud ☁️
烏雲蔽日	烏雲蔽日 ⛅
多雲	多雲 ⛅
陰天	陰天 ⛅
雷陣雨	雷陣雨 ⛈️
大雨	大雨 ⛈️
下大雨	下大雨 ⛈️
少雲	少雲 🌤
晴偶有云	晴偶有云 🌤
白日小云	白日小云 🌤
下雨	下雨 🌧
雨	雨 🌧
雨雲	雨雲 🌧
下雪	下雪 🌨 ❄️
雪雲	雪雲 🌨
打雷	打雷 🌩
雷雲	雷雲 🌩
龍捲風	龍捲風 🌪
霧	霧 🌫
霾	霾 🌫
霧霾	霧霾 🌫
風吹拂的臉	風吹拂的臉 🌬
風吹拂	風吹拂 🌬
吹拂	吹拂 🌬
吹風	吹風 🌬
吹口氣	吹口氣 🌬
颱風	颱風 🌀
旋風	旋風 🌀
颶風	颶風 🌀
漩渦	漩渦 🌀
蚊香	蚊香 🌀
氣旋	氣旋 🌀
彩虹	彩虹 🌈
收起的傘	收起的傘 🌂
收起的雨傘	收起的雨傘 🌂
雨傘	雨傘 🌂 ☂️ ☔
打傘	打傘 ☂️ ☔
撐傘	撐傘 ☂️ ☔
傘狀	傘狀 ☂️
遮陽傘	遮陽傘 ⛱️
閃電	閃電 ⚡
高壓電	高壓電 ⚡
雪	雪 ❄️
雪花	雪花 ❄️
雪人	雪人 ⛄
堆雪人	堆雪人 ⛄
彗星	彗星 ☄️
哈雷	哈雷 ☄️
哈雷彗星	哈雷彗星 ☄️
火	火 🔥
火焰	火焰 🔥
燃燒	燃燒 🔥
點燃	點燃 🔥
着火	着火 🔥
着火了	着火了 🔥
火了	火了 🔥
波浪	波浪 🌊
浪花	浪花 🌊
浪	浪 🌊
大浪	大浪 🌊
萬聖節	萬聖節 🎃
南瓜燈	南瓜燈 🎃
南瓜頭	南瓜頭 🎃
聖誕樹	聖誕樹 🎄
煙花	煙花 🎆 🎇
焰火	焰火 🎆 🎇
禮花	禮花 🎆 🎇
鞭炮	鞭炮 🧨
炸藥	炸藥 🧨
爆竹	爆竹 🧨
閃亮	閃亮 ✨
閃光	閃光 ✨
閃耀	閃耀 ✨
氣球	氣球 🎈
慶典	慶典 🎈
恭喜	恭喜 🎉
祝賀	祝賀 🎉
禮賓花	禮賓花 🎉
派對禮賓花	派對禮賓花 🎉
五彩紙屑球	五彩紙屑球 🎊
彩色碎紙	彩色碎紙 🎊
碎花彩球	碎花彩球 🎊
糖果球	糖果球 🎊
七夕	七夕 🎋
七夕樹	七夕樹 🎋
七夕節	七夕節 🎋
門松	門松 🎍
日本娃娃	日本娃娃 🎎
鯉魚旗	鯉魚旗 🎏
風鈴	風鈴 🎐
中秋	中秋 🎑
中秋節	中秋節 🎑
中秋佳節	中秋佳節 🎑
觀月	觀月 🎑
賞月	賞月 🎑
紅包	紅包 🧧
蝴蝶結	蝴蝶結 🎀
禮物	禮物 🎁
禮品	禮品 🎁
禮物盒	禮物盒 🎁
禮品盒	禮品盒 🎁
包裝	包裝 🎁
包裝盒	包裝盒 🎁
絲帶	絲帶 🎗
黃絲帶	黃絲帶 🎗
入場券	入場券 🎟
門票	門票 🎫
鞠躬勳章	鞠躬勳章 🎖
軍功章	軍功章 🎖
勳章	勳章 🎖
獎盃	獎盃 🏆
冠軍	冠軍 🏆
運動會獎牌	運動會獎牌 🏅
獎牌	獎牌 🏅
金牌	金牌 🥇
銀牌	銀牌 🥈
銅牌	銅牌 🥉
足球	足球 ⚽
英式足球	英式足球 ⚽
棒球	棒球 ⚾
壘球	壘球 🥎
籃球	籃球 🏀
排球	排球 🏐
橄欖球	橄欖球 🏈 🏉
美式橄欖球	美式橄欖球 🏈
英式橄欖球	英式橄欖球 🏉
網球	網球 🎾
飛盤	飛盤 🥏
保齡球	保齡球 🎳
保齡球瓶	保齡球瓶 🎳
板球	板球 🏏
板球拍	板球拍 🏏
曲棍球	曲棍球 🏑
冰球	冰球 🏒
袋棍球	袋棍球 🥍
乒乓球	乒乓球 🏓
乒乓球拍	乒乓球拍 🏓
羽毛球	羽毛球 🏸
羽毛球拍	羽毛球拍 🏸
球拍	球拍 🏸
拳擊手套	拳擊手套 🥊
武術服	武術服 🥋
空手道服	空手道服 🥋
跆拳道服	跆拳道服 🥋
柔道服	柔道服 🥋
球門網	球門網 🥅
球網	球網 🥅
球門	球門 🥅
高爾夫球洞	高爾夫球洞 ⛳
溜冰鞋	溜冰鞋 ⛸
溜冰	溜冰 ⛸
滑冰	滑冰 ⛸
釣魚竿	釣魚竿 🎣
漁竿	漁竿 🎣
釣竿	釣竿 🎣
釣魚	釣魚 🎣
潛水面罩	潛水面罩 🤿
深潛	深潛 🤿
潛水	潛水 🤿
運動背心	運動背心 🎽
滑雪橇	滑雪橇 🎿
滑雪裝備	滑雪裝備 🎿
雪橇	雪橇 🛷
乘雪橇	乘雪橇 🛷
駕雪橇	駕雪橇 🛷
坐雪橇	坐雪橇 🛷
冰上溜石	冰上溜石 🥌
冰壺	冰壺 🥌
靶心	靶心 🎯
正中靶心的飛鏢	正中靶心的飛鏢 🎯
飛鏢	飛鏢 🎯
命中	命中 🎯
溜溜球	溜溜球 🪀
悠悠球	悠悠球 🪀
風箏	風箏 🪁
放風箏	放風箏 🪁
風鳶	風鳶 🪁
紙鳶	紙鳶 🪁
水槍	水槍 🔫
玩具槍	玩具槍 🔫
滋水槍	滋水槍 🔫
檯球	檯球 🎱
黑八	黑八 🎱
水晶球	水晶球 🔮
占卜	占卜 🔮
魔法棒	魔法棒 🪄
魔棒	魔棒 🪄
手柄	手柄 🎮
遊戲手柄	遊戲手柄 🎮
視頻遊戲手柄	視頻遊戲手柄 🎮
電子遊戲手柄	電子遊戲手柄 🎮
操控杆	操控杆 🕹
遊戲操控杆	遊戲操控杆 🕹
搖桿	搖桿 🕹
遊戲搖桿	遊戲搖桿 🕹
老虎機	老虎機 🎰
賭場	賭場 🎰
賭博	賭博 🎰 🎲
色子	色子 🎲
骰子	骰子 🎲
酒桌遊戲	酒桌遊戲 🎲
拼圖	拼圖 🧩
拼圖塊	拼圖塊 🧩
拼塊	拼塊 🧩
拼塊兒	拼塊兒 🧩
泰迪熊	泰迪熊 🧸
泰迪	泰迪 🧸
皮納塔	皮納塔 🪅
鏡面球	鏡面球 🪩
迪斯科	迪斯科 🪩
俄羅斯套娃	俄羅斯套娃 🪆
套娃	套娃 🪆
撲克	撲克 ♠️ ♥️ ♦️ ♣️ 🃏
黑桃	黑桃 ♠️
紅桃	紅桃 ♥️
愛	愛 ♥️
紅心	紅心 ♥️
心形	心形 ♥️
方片	方片 ♦️
方板	方板 ♦️
梅花	梅花 ♣️
草花	草花 ♣️
國際象棋兵	國際象棋兵 ♟
國際象棋	國際象棋 ♟
大小王	大小王 🃏
大王	大王 🃏
小王	小王 🃏
小丑牌	小丑牌 🃏
鬼牌	鬼牌 🃏
Joker	Joker 🃏
紅中	紅中 🀄
中	中 🀄
麻將	麻將 🀄
花撲克牌	花撲克牌 🎴
撲克牌	撲克牌 🎴
表演藝術	表演藝術 🎭
面具	面具 🎭
帶畫框的圖片	帶畫框的圖片 🖼
帶框的畫	帶框的畫 🖼
畫框	畫框 🖼
一幅畫	一幅畫 🖼
畫畫	畫畫 🎨
調色板	調色板 🎨
調色盤	調色盤 🎨
藝術	藝術 🎨
線軸	線軸 🧵
針	針 🪡
繡花針	繡花針 🪡
縫紉針	縫紉針 🪡
線團	線團 🧶
毛線	毛線 🧶
紗線	紗線 🧶
毛線球	毛線球 🧶
繩子	繩子 🪢
繩結	繩結 🪢
打結	打結 🪢
眼鏡	眼鏡 👓
近視	近視 👓
近視眼	近視眼 👓
護目鏡	護目鏡 🥽
泳鏡	泳鏡 🥽
游泳鏡	游泳鏡 🥽
實驗室外衣	實驗室外衣 🥼
白大褂	白大褂 🥼
白大褂兒	白大褂兒 🥼
安全背心	安全背心 🦺
救生衣	救生衣 🦺
襯衫領帶	襯衫領帶 👔
領帶	領帶 👔
衣服	衣服 👔
襯衫	襯衫 👕
恤衫	恤衫 👕
短袖	短袖 👕
上衣	上衣 👕
T恤	T恤 👕
T恤衫	T恤衫 👕
男襯衫	男襯衫 👕
男士襯衫	男士襯衫 👕
牛仔褲	牛仔褲 👖
褲子	褲子 👖
圍巾	圍巾 🧣
手套	手套 🧤
外套	外套 🧥
夾克	夾克 🧥
夾克衫	夾克衫 🧥
襪子	襪子 🧦
短襪	短襪 🧦
連衣裙	連衣裙 👗
長裙	長裙 👗
裙子	裙子 👗
和服	和服 👘
浴衣	浴衣 👘
紗麗	紗麗 🥻
連體泳衣	連體泳衣 🩱
泳衣	泳衣 🩱
泳裝	泳裝 🩱 👙
三角褲	三角褲 🩲
內褲	內褲 🩲
四角褲	四角褲 🩳
短褲	短褲 🩳
三點式	三點式 👙
比基尼	比基尼 👙
內衣	內衣 👙
女裝	女裝 👚
女士襯衫	女士襯衫 👚
女襯衫	女襯衫 👚
扇子	扇子 🪭
摺扇	摺扇 🪭
錢包	錢包 👛
零錢包	零錢包 👛
女士錢包	女士錢包 👛
手提包	手提包 👜
挎包	挎包 👜
女包	女包 👜
包包	包包 👜
手拿包	手拿包 👝
荷包	荷包 👝
皮包	皮包 👝
購物袋	購物袋 🛍
書包	書包 🎒
雙肩包	雙肩包 🎒
揹包	揹包 🎒
背囊	背囊 🎒
涼鞋	涼鞋 🩴 👡
夾趾涼鞋	夾趾涼鞋 🩴
沙灘涼鞋	沙灘涼鞋 🩴
拖鞋	拖鞋 🩴
人字拖	人字拖 🩴
皮鞋	皮鞋 👞
男鞋	男鞋 👞
網球鞋	網球鞋 👟
跑鞋	跑鞋 👟
運動鞋	運動鞋 👟
板鞋	板鞋 👟
板兒鞋	板兒鞋 👟
休閒鞋	休閒鞋 👟
登山鞋	登山鞋 🥾
平底鞋	平底鞋 🥿
高跟鞋	高跟鞋 👠
高跟兒	高跟兒 👠
高跟兒鞋	高跟兒鞋 👠
女鞋	女鞋 👠
女式涼鞋	女式涼鞋 👡
高跟涼鞋	高跟涼鞋 👡
高跟兒涼鞋	高跟兒涼鞋 👡
芭蕾舞鞋	芭蕾舞鞋 🩰
足尖鞋	足尖鞋 🩰
高跟靴	高跟靴 👢
高跟兒靴	高跟兒靴 👢
女靴	女靴 👢
靴子	靴子 👢
長靴	長靴 👢
叉梳	叉梳 🪮
梳子	梳子 🪮
王冠	王冠 👑
皇冠	皇冠 👑
皇族	皇族 👑
帶蝴蝶結的帽子	帶蝴蝶結的帽子 👒
女帽	女帽 👒
寬檐帽	寬檐帽 👒
帽子	帽子 🎩
禮帽	禮帽 🎩
高帽	高帽 🎩
四方帽	四方帽 🎓
畢業帽	畢業帽 🎓
學士帽	學士帽 🎓
棒球帽	棒球帽 🧢
鴨舌帽	鴨舌帽 🧢
軍用頭盔	軍用頭盔 🪖
頭盔	頭盔 🪖
軍人	軍人 🪖
軍盔	軍盔 🪖
安全帽	安全帽 ⛑️
白十字頭盔	白十字頭盔 ⛑️
白十字安全帽	白十字安全帽 ⛑️
十字安全帽	十字安全帽 ⛑️
十字頭盔	十字頭盔 ⛑️
念珠	念珠 📿
口紅	口紅 💄
脣膏	脣膏 💄
戒指	戒指 💍
鑽戒	鑽戒 💍
求婚戒	求婚戒 💍
訂婚戒	訂婚戒 💍
寶石	寶石 💎
鑽石	鑽石 💎
已靜音的揚聲器	已靜音的揚聲器 🔇
揚聲器關閉	揚聲器關閉 🔇
靜音	靜音 🔇
揚聲器	揚聲器 🔈 🔉 🔊
中等音量	中等音量 🔉
中等音量的揚聲器	中等音量的揚聲器 🔉
大音量	大音量 🔊
高音量	高音量 🔊
高音量的揚聲器	高音量的揚聲器 🔊
公共廣播	公共廣播 📢
喇叭	喇叭 📢 📣
喇叭筒	喇叭筒 📣
大喇叭	大喇叭 📣
郵政喇叭	郵政喇叭 📯
鈴鐺	鈴鐺 🔔
鏡音鈴鐺	鏡音鈴鐺 🔕
響鈴關閉	響鈴關閉 🔕
禁止響鈴	禁止響鈴 🔕
樂譜	樂譜 🎼
五線譜	五線譜 🎼
音符	音符 🎵 🎶
音樂	音樂 🎵 🎶
麥克風	麥克風 🎙 🎤
錄音室麥克風	錄音室麥克風 🎙
錄音麥克風	錄音麥克風 🎙
電平滑塊	電平滑塊 🎚
滑塊	滑塊 🎚
控制旋鈕	控制旋鈕 🎛
旋鈕	旋鈕 🎛
頭戴式耳機	頭戴式耳機 🎧
耳機	耳機 🎧
收音機	收音機 📻
無線電	無線電 📻
電臺	電臺 📻
薩克斯	薩克斯 🎷
薩克斯風	薩克斯風 🎷
薩克斯管	薩克斯管 🎷
管絃樂器	管絃樂器 🎷
手風琴	手風琴 🪗
吉他	吉他 🎸
電吉他	電吉他 🎸
音樂鍵盤	音樂鍵盤 🎹
鋼琴	鋼琴 🎹
鋼琴按鍵	鋼琴按鍵 🎹
鋼琴鍵	鋼琴鍵 🎹
琴鍵	琴鍵 🎹
小號	小號 🎺
小提琴	小提琴 🎻
提琴	提琴 🎻
班卓琴	班卓琴 🪕
鼓	鼓 🥁
打鼓	打鼓 🥁
敲鼓	敲鼓 🥁
長鼓	長鼓 🪘
康加鼓	康加鼓 🪘
沙錘	沙錘 🪇
笛子	笛子 🪈
長笛	長笛 🪈
移動電話	移動電話 📱
手機	手機 📱
智能手機	智能手機 📱
來電	來電 📲
來電了	來電了 📲
電話	電話 ☎️
固定電話	固定電話 ☎️
固話	固話 ☎️
座機	座機 ☎️
電話聽筒	電話聽筒 📞
電話筒	電話筒 📞
傳呼機	傳呼機 📟
呼機	呼機 📟
尋呼機	尋呼機 📟
傳真	傳真 📠
傳真機	傳真機 📠
發傳真	發傳真 📠
電池	電池 🔋
電量	電量 🔋 🪫
電源	電源 🔋 🔌
蓄電池	蓄電池 🔋
低電量	低電量 🪫
電量低	電量低 🪫
電池不足	電池不足 🪫
插頭	插頭 🔌
電插頭	電插頭 🔌
電源插頭	電源插頭 🔌
筆記本電腦	筆記本電腦 💻
個人電腦	個人電腦 💻
手提電腦	手提電腦 💻
筆電	筆電 💻
臺式電腦	臺式電腦 🖥
電腦	電腦 🖥
顯示器	顯示器 🖥
顯示屏	顯示屏 🖥
計算機	計算機 🖥
打印機	打印機 🖨
印刷機	印刷機 🖨
鍵盤	鍵盤 ⌨️
電腦鍵盤	電腦鍵盤 ⌨️
電腦鼠標	電腦鼠標 🖱
鼠標	鼠標 🖱
軌跡球	軌跡球 🖲
光盤	光盤 💽
光碟	光碟 💽
迷你光盤	迷你光盤 💽
迷你光碟	迷你光碟 💽
電腦光盤	電腦光盤 💽
軟盤	軟盤 💾
CD	CD 💿
DVD	DVD 📀
算盤	算盤 🧮
打算盤	打算盤 🧮
攝像機	攝像機 🎥 📹
攝錄機	攝錄機 🎥
攝影機	攝影機 🎥
電影攝影機	電影攝影機 🎥
電影膠片	電影膠片 🎞
膠捲	膠捲 🎞
膠片	膠片 🎞
電影	電影 🎞
菲林	菲林 🎞
電影放映機	電影放映機 📽
放映機	放映機 📽
上映	上映 📽
場記	場記 🎬
場記板	場記板 🎬
打板	打板 🎬
拍電影	拍電影 🎬
action	action 🎬
電視	電視 📺
電視機	電視機 📺
TV	TV 📺
相機	相機 📷
卡片相機	卡片相機 📷
照相機	照相機 📷
開閃光燈的相機	開閃光燈的相機 📸
拍照	拍照 📸
閃光燈	閃光燈 📸
閃光燈打開	閃光燈打開 📸
錄像帶	錄像帶 📼
錄影帶	錄影帶 📼
磁帶	磁帶 📼
放大鏡	放大鏡 🔍 🔎
蠟燭	蠟燭 🕯
燭光	燭光 🕯
燭火	燭火 🕯
燈泡	燈泡 💡
電燈泡	電燈泡 💡
白熾燈	白熾燈 💡
手電	手電 🔦
手電筒	手電筒 🔦
電筒	電筒 🔦
照明	照明 🔦
居酒屋燈籠	居酒屋燈籠 🏮
居酒屋	居酒屋 🏮
燈籠	燈籠 🏮
紅燈籠	紅燈籠 🏮
油燈	油燈 🪔
筆記本	筆記本 📔 📓 📒
記事本	記事本 📔 📓 📒
日記本	日記本 📔 📓 📒
紅色的書	紅色的書 📕
紅色書本	紅色書本 📕
小紅書	小紅書 📕
第一卷	第一卷 📕
書	書 📖
打開的書本	打開的書本 📖
綠色的書	綠色的書 📗
綠色書本	綠色書本 📗
教科書	教科書 📗
第二卷	第二卷 📗
藍色的書	藍色的書 📘
藍色書本	藍色書本 📘
第三卷	第三卷 📘
橙色的書	橙色的書 📙
橙色書本	橙色書本 📙
橘色的書	橘色的書 📙
橘色書本	橘色書本 📙
第四卷	第四卷 📙
圖書	圖書 📚
書本	書本 📚
賬簿	賬簿 📒
帶卷邊的紙	帶卷邊的紙 📃
卷邊的紙	卷邊的紙 📃
卷軸	卷軸 📜
紙	紙 📄
文書	文書 📄
文件	文件 📄
報紙	報紙 📰
新聞	新聞 📰
捲起的報紙	捲起的報紙 🗞
報紙卷	報紙卷 🗞
書籤標籤	書籤標籤 📑
標籤頁	標籤頁 📑
書籤	書籤 🔖
標籤	標籤 🏷
吊牌	吊牌 🏷
錢	錢 💰
錢袋	錢袋 💰
工資	工資 💰
獎金	獎金 💰
硬幣	硬幣 🪙
鋼鏰	鋼鏰 🪙
鋼鏰兒	鋼鏰兒 🪙
日元鈔票	日元鈔票 💴
美元鈔票	美元鈔票 💵
鈔票	鈔票 💵
紙幣	紙幣 💵
歐元鈔票	歐元鈔票 💶
英鎊鈔票	英鎊鈔票 💷
長翅膀的錢	長翅膀的錢 💸
長了翅膀的錢	長了翅膀的錢 💸
翅膀錢	翅膀錢 💸
花錢	花錢 💸
信用卡	信用卡 💳
借記卡	借記卡 💳
貸記卡	貸記卡 💳
銀行卡	銀行卡 💳
憑據	憑據 🧾
發票	發票 🧾
收據	收據 🧾
賬單	賬單 🧾
信件	信件 ✉️
信封	信封 ✉️
寫信	寫信 ✉️
電子郵件	電子郵件 📧
郵件	郵件 📧
來信	來信 📨
收到來信	收到來信 📨
收到郵件	收到郵件 📨 📥
發件箱	發件箱 📤
發信	發信 📤
發郵件	發郵件 📤
收件箱	收件箱 📥
收信	收信 📥
收郵件	收郵件 📥
包裹	包裹 📦
快遞	快遞 📦
紙箱	紙箱 📦
紙箱子	紙箱子 📦
信箱	信箱 📪
郵筒	郵筒 📮
郵箱	郵箱 📮
投票	投票 🗳
投票箱	投票箱 🗳
選票	選票 🗳
鉛筆	鉛筆 ✏️
鋼筆	鋼筆 ✒️ 🖋
圓珠筆	圓珠筆 🖊
畫筆	畫筆 🖌
蠟筆	蠟筆 🖍
備忘錄	備忘錄 📝
便箋	便箋 📝
公文包	公文包 💼
公事包	公事包 💼
文件夾	文件夾 📁 📂
卡片索引分隔卡	卡片索引分隔卡 🗂
日曆	日曆 📅
手撕日曆	手撕日曆 📆
線圈筆記本	線圈筆記本 🗒
線圈本	線圈本 🗒
線圈日曆	線圈日曆 🗓
卡片索引	卡片索引 📇
卡牌索引	卡牌索引 📇
上升	上升 📈
上漲	上漲 📈
暴漲	暴漲 📈
下降	下降 📉
下跌	下跌 📉
暴跌	暴跌 📉
圖表	圖表 📊
條形圖	條形圖 📊
柱形圖	柱形圖 📊
柱狀圖	柱狀圖 📊
寫字板	寫字板 📋
剪貼板	剪貼板 📋
圖釘	圖釘 📌
圓圖釘	圓圖釘 📍
大頭針	大頭針 📍
回形針	回形針 📎 🖇
曲別針	曲別針 📎 🖇
直尺	直尺 📏
尺子	尺子 📏
三角尺	三角尺 📐
三角板	三角板 📐
剪刀	剪刀 ✂️
剪子	剪子 ✂️
卡片盒	卡片盒 🗃
卡片存檔盒	卡片存檔盒 🗃
文件櫃	文件櫃 🗄
廢紙簍	廢紙簍 🗑
垃圾桶	垃圾桶 🗑
垃圾簍	垃圾簍 🗑
鎖	鎖 🔒 🔓
合上的鎖	合上的鎖 🔒
門鎖	門鎖 🔒 🔓
鎖頭	鎖頭 🔒 🔓
上鎖	上鎖 🔒
鎖上	鎖上 🔒
鎖住	鎖住 🔒
打開的鎖	打開的鎖 🔓
解鎖	解鎖 🔓 🔐
開鎖	開鎖 🔓
帶墨水筆的鎖	帶墨水筆的鎖 🔏
隱祕	隱祕 🔏
已鎖上但掛着鑰匙的鎖	已鎖上但掛着鑰匙的鎖 🔐
密鑰	密鑰 🔐
鑰匙	鑰匙 🔑 🗝
古老的鑰匙	古老的鑰匙 🗝
老鑰匙	老鑰匙 🗝
舊鑰匙	舊鑰匙 🗝
老式鑰匙	老式鑰匙 🗝
復古鑰匙	復古鑰匙 🗝
錘子	錘子 🔨
鐵錘	鐵錘 🔨
斧子	斧子 🪓
斧頭	斧頭 🪓
鐵鎬	鐵鎬 ⛏️
鋤頭	鋤頭 ⛏️
鶴嘴鋤	鶴嘴鋤 ⛏️
錘子與鎬	錘子與鎬 ⚒️
錘子和鎬	錘子和鎬 ⚒️
錘子和扳手	錘子和扳手 🛠
錘子與扳手	錘子與扳手 🛠
錘子扳手	錘子扳手 🛠
工具	工具 🛠
匕首	匕首 🗡
短刀	短刀 🗡
短劍	短劍 🗡
雙劍	雙劍 ⚔️
雙劍交叉	雙劍交叉 ⚔️
戰鬥	戰鬥 ⚔️
開戰	開戰 ⚔️
開始戰鬥	開始戰鬥 ⚔️
fight	fight ⚔️
炸彈	炸彈 💣
boom	boom 💣
迴旋鏢	迴旋鏢 🪃
飛旋鏢	飛旋鏢 🪃
回力棒	回力棒 🪃
回力鏢	回力鏢 🪃
弓箭	弓箭 🏹
弓和箭	弓和箭 🏹
盾牌	盾牌 🛡
手鋸	手鋸 🪚
鋸子	鋸子 🪚
扳手	扳手 🔧
螺絲扳手	螺絲扳手 🔧
螺絲刀	螺絲刀 🪛
螺母及螺栓	螺母及螺栓 🔩
螺母與螺栓	螺母與螺栓 🔩
螺母和螺栓	螺母和螺栓 🔩
螺母螺栓	螺母螺栓 🔩
齒輪	齒輪 ⚙️
夾鉗	夾鉗 🗜
天平	天平 ⚖️
白手杖	白手杖 🦯
手杖	手杖 🦯
鏈接	鏈接 🔗
鏈條	鏈條 ⛓️
鐵鏈	鐵鏈 ⛓️
鎖鏈	鎖鏈 ⛓️
鏈子	鏈子 ⛓️
鉤子	鉤子 🪝
掛鉤	掛鉤 🪝
鐵鉤	鐵鉤 🪝
彎鉤	彎鉤 🪝
工具箱	工具箱 🧰
磁鐵	磁鐵 🧲
吸鐵石	吸鐵石 🧲
磁力	磁力 🧲
磁石	磁石 🧲
梯子	梯子 🪜
爬梯	爬梯 🪜
爬梯子	爬梯子 🪜
翻牆	翻牆 🪜
科學上網	科學上網 🪜
魔法上網	魔法上網 🪜
蒸餾器	蒸餾器 ⚗️
試管	試管 🧪
培養皿	培養皿 🧫
DNA	DNA 🧬
脫氧核糖核酸	脫氧核糖核酸 🧬
基因	基因 🧬
顯微鏡	顯微鏡 🔬
望遠鏡	望遠鏡 🔭
衛星天線	衛星天線 📡
天線	天線 📡
接收天線	接收天線 📡
注射器	注射器 💉
打針	打針 💉
血滴	血滴 🩸
滴血	滴血 🩸
藥丸	藥丸 💊
膠囊	膠囊 💊
創可貼	創可貼 🩹
柺杖	柺杖 🩼
聽診器	聽診器 🩺
X射線	X射線 🩻
X光	X光 🩻
X光片	X光片 🩻
拍片	拍片 🩻
胸透	胸透 🩻
胸片	胸片 🩻
門	門 🚪
房門	房門 🚪
門子	門子 🚪
電梯	電梯 🛗
升降機	升降機 🛗
鏡子	鏡子 🪞
魔鏡	魔鏡 🪞
窗戶	窗戶 🪟
牀	牀 🛏
沙發和燈	沙發和燈 🛋
沙發	沙發 🛋
椅子	椅子 🪑
凳子	凳子 🪑
馬桶	馬桶 🚽
馬桶吸	馬桶吸 🪠
搋子	搋子 🪠
馬桶搋子	馬桶搋子 🪠
水拔子	水拔子 🪠
皮老虎	皮老虎 🪠
馬桶吸盤	馬桶吸盤 🪠
馬桶吸把	馬桶吸把 🪠
馬桶疏通器	馬桶疏通器 🪠
通通樂	通通樂 🪠
馬桶塞	馬桶塞 🪠
馬桶抽子	馬桶抽子 🪠
淋浴	淋浴 🚿
噴頭	噴頭 🚿
浴缸	浴缸 🛁
捕鼠器	捕鼠器 🪤
剃刀	剃刀 🪒
剃鬚刀	剃鬚刀 🪒
刮鬍刀	刮鬍刀 🪒
手動刮鬍刀	手動刮鬍刀 🪒
乳液	乳液 🧴
乳液瓶	乳液瓶 🧴
護膚霜	護膚霜 🧴
洗髮水	洗髮水 🧴
沐浴露	沐浴露 🧴
洗髮露	洗髮露 🧴
安全別針	安全別針 🧷
別針	別針 🧷
釦針	釦針 🧷
掃帚	掃帚 🧹
掃把	掃把 🧹
笤帚	笤帚 🧹
籃子	籃子 🧺
竹籃	竹籃 🧺
菜籃	菜籃 🧺
菜籃子	菜籃子 🧺
衛生紙	衛生紙 🧻
捲紙	捲紙 🧻
紙巾	紙巾 🧻
水桶	水桶 🪣
圓桶	圓桶 🪣
肥皂	肥皂 🧼
香皂	香皂 🧼
泡泡	泡泡 🫧
氣泡	氣泡 🫧
牙刷	牙刷 🪥
刷牙	刷牙 🪥
海綿	海綿 🧽
滅火器	滅火器 🧯
購物車	購物車 🛒
手推車	手推車 🛒
煙	煙 🚬
香菸	香菸 🚬
捲菸	捲菸 🚬
紙菸	紙菸 🚬
吸菸	吸菸 🚬
抽菸	抽菸 🚬
烤煙	烤煙 🚬
來一根	來一根 🚬
來一根兒	來一根兒 🚬
棺材	棺材 ⚰️
靈柩	靈柩 ⚰️
墓碑	墓碑 🪦
墳墓	墳墓 🪦
骨灰盒	骨灰盒 ⚱️
骨灰缸	骨灰缸 ⚱️
惡魔之眼	惡魔之眼 🧿
惡魔眼	惡魔眼 🧿
惡魔的眼	惡魔的眼 🧿
法蒂瑪	法蒂瑪 🪬
法蒂瑪之手	法蒂瑪之手 🪬
復活島	復活島 🗿
復活節島	復活節島 🗿
復活節島石像	復活節島石像 🗿
摩艾石像	摩艾石像 🗿
標語	標語 🪧
佈告	佈告 🪧
佈告牌	佈告牌 🪧
標語牌	標語牌 🪧
身份證	身份證 🪪 🆔
ID	ID 🪪 🆔
駕照	駕照 🪪
執照	執照 🪪
證件	證件 🪪
證照	證照 🪪
ATM	ATM 🏧
取款機	取款機 🏧
提款機	提款機 🏧
垃圾入簍標誌	垃圾入簍標誌 🚮
垃圾入簍	垃圾入簍 🚮
垃圾丟棄處	垃圾丟棄處 🚮
丟垃圾	丟垃圾 🚮
扔垃圾	扔垃圾 🚮
倒垃圾	倒垃圾 🚮
水龍頭	水龍頭 🚰
飲用水	飲用水 🚰
直飲水	直飲水 🚰
飲水處	飲水處 🚰
輪椅標誌	輪椅標誌 ♿
男士標誌	男士標誌 🚹
男士符號	男士符號 🚹
男士	男士 🚹
男廁	男廁 🚹
男廁所	男廁所 🚹
男洗手間	男洗手間 🚹
女士標誌	女士標誌 🚺
女士符號	女士符號 🚺
女士	女士 🚺
女廁	女廁 🚺
女廁所	女廁所 🚺
女洗手間	女洗手間 🚺
WC	WC 🚻
衛生間	衛生間 🚻 🚾
廁所	廁所 🚻 🚾
洗手間	洗手間 🚻 🚾
盥洗室	盥洗室 🚻 🚾
嬰兒符號	嬰兒符號 🚼
